==============================================================================
==============================================================================
Wed. Apr. 9 2014                  LANDSAT 5                       Time: 20:52
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404070369_00178                          Path / Row - 228 / 79
Reference Image: L51CUB1011014130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.8%
Rank   2 --  4.2%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790796  -26.75726    -61.21867     0.08     -0.23     0.24     1 
2280790797  -26.75685    -61.18640     0.10      0.18     0.21     1 
2280790799  -26.75601    -61.12186     0.03     -0.10     0.11     1 
2280790800  -26.75558    -61.08960     0.00     -0.55     0.55     2 
2280790806  -26.75284    -60.89601    -0.00      0.09     0.09     1 
2280790807  -26.75236    -60.86375    -0.09      0.32     0.33     1 
2280790809  -26.75137    -60.79923    -0.00      0.04     0.04     1 
2280790812  -26.74983    -60.70246     0.30      0.10     0.32     1 
2280790813  -26.74930    -60.67020    -0.20      0.19     0.28     1 
2280790814  -26.74877    -60.63795     0.20      0.12     0.23     1 
2280790815  -26.74823    -60.60569    -0.11     -0.03     0.11     1 
2280790846  -26.79056    -62.02536     0.09     -0.07     0.12     1 
2280790849  -26.78986    -61.92850    -0.00     -0.13     0.13     1 
2280790853  -26.78883    -61.79935     0.25     -0.07     0.26     1 
2280790856  -26.78797    -61.70249     0.12     -0.09     0.15     1 
2280790857  -26.78767    -61.67020     0.04      0.06     0.08     1 
2280790859  -26.78705    -61.60563     0.12     -0.02     0.12     1 
2280790860  -26.78673    -61.57335     0.04      0.16     0.16     1 
2280790864  -26.78537    -61.44422     0.10     -0.19     0.21     1 
2280790865  -26.78501    -61.41194     0.29      0.14     0.32     1 
2280790866  -26.78465    -61.37966    -0.22     -0.30     0.37     1 
2280790872  -26.78230    -61.18600     0.05     -0.03     0.06     1 
2280790873  -26.78188    -61.15372     0.24      0.11     0.26     1 
2280790874  -26.78146    -61.12145     0.08     -0.20     0.21     1 
2280790877  -26.78014    -61.02463     0.05      0.23     0.24     1 
2280790880  -26.77876    -60.92781     0.12      0.06     0.13     1 
2280790882  -26.77780    -60.86328    -0.01      0.19     0.19     1 
2280790883  -26.77731    -60.83101     0.04     -0.19     0.19     1 
2280790884  -26.77681    -60.79874     0.31      0.04     0.32     1 
2280790888  -26.77475    -60.66968    -0.04     -0.02     0.04     1 
2280790889  -26.77421    -60.63742    -0.03      0.02     0.03     1 
2280790890  -26.77367    -60.60516     0.15      0.03     0.15     1 
2280790891  -26.77312    -60.57290     0.29     -0.06     0.30     1 
2280790893  -26.77200    -60.50838    -0.02     -0.20     0.20     1 
2280790894  -26.77143    -60.47612    -0.08     -0.03     0.08     1 
2280790895  -26.77085    -60.44386     0.05      0.02     0.05     1 
2280790921  -26.81602    -62.02515    -0.04     -0.15     0.15     1 
2280790924  -26.81532    -61.92826    -0.25     -0.00     0.25     1 
2280790927  -26.81455    -61.83137    -0.06      0.01     0.06     1 
2280790928  -26.81428    -61.79908    -0.04     -0.04     0.06     1 
2280790929  -26.81401    -61.76678     0.28     -0.36     0.46     1 
2280790930  -26.81372    -61.73449    -0.05      0.01     0.06     1 
2280790932  -26.81313    -61.66991    -0.09     -0.14     0.17     1 
2280790934  -26.81251    -61.60532    -0.15     -0.22     0.27     1 
2280790937  -26.81152    -61.50845     0.08     -0.02     0.08     1 
2280790939  -26.81082    -61.44388    -0.22      0.14     0.26     1 
2280790940  -26.81047    -61.41159     0.19     -0.04     0.20     1 
2280790941  -26.81010    -61.37930     0.36      0.14     0.39     1 
2280790945  -26.80856    -61.25016     0.11      0.04     0.11     1 
2280790956  -26.80373    -60.89507    -0.39      0.32     0.51     2 
2280790958  -26.80275    -60.83052    -0.03      0.13     0.13     1 
2280790959  -26.80225    -60.79825    -0.08      0.00     0.08     1 
2280790960  -26.80175    -60.76598     0.06      0.51     0.51     2 
2280790961  -26.80123    -60.73371    -0.04     -0.12     0.13     1 
2280790962  -26.80071    -60.70143     0.28     -0.06     0.29     1 
2280790963  -26.80019    -60.66916    -0.05     -0.48     0.48     1 
2280790964  -26.79965    -60.63689    -0.07      0.01     0.07     1 
2280790965  -26.79911    -60.60462    -0.14     -0.17     0.23     1 
2280790966  -26.79856    -60.57236     0.06     -0.06     0.08     1 
2280790967  -26.79800    -60.54009     0.07      0.14     0.16     1 
2280790968  -26.79744    -60.50782     0.00      0.14     0.14     1 
2280790969  -26.79687    -60.47556    -0.05     -0.07     0.09     1 
2280790970  -26.79629    -60.44329     0.02      0.03     0.04     1 
2280790971  -26.79570    -60.41103     0.11     -0.13     0.18     1 
2280790988  -26.84302    -62.28337     0.28     -0.46     0.54     2 
2280790997  -26.84125    -61.99262     0.18     -0.29     0.34     1 
2280790998  -26.84102    -61.96032     0.03     -0.23     0.23     1 
2280791001  -26.84027    -61.86341    -0.14     -0.15     0.20     1 
2280791003  -26.83974    -61.79881     0.12     -0.08     0.14     1 
2280791004  -26.83946    -61.76651    -0.17     -0.03     0.17     1 
2280791009  -26.83796    -61.60501     0.01      0.07     0.07     1 
2280791010  -26.83764    -61.57271     0.21     -0.05     0.21     1 
2280791011  -26.83731    -61.54042     0.08      0.15     0.17     1 
2280791012  -26.83697    -61.50812     0.14      0.02     0.14     1 
2280791013  -26.83663    -61.47582     0.26      0.58     0.63     2 
2280791014  -26.83628    -61.44353     0.08     -0.22     0.23     1 
2280791017  -26.83518    -61.34665    -0.03     -0.14     0.15     1 
2280791019  -26.83441    -61.28206    -0.00     -0.10     0.10     1 
2280791025  -26.83192    -61.08832    -0.16     -0.02     0.16     1 
2280791026  -26.83148    -61.05603     0.12     -0.06     0.14     1 
2280791028  -26.83058    -60.99146    -0.04      0.05     0.06     1 
2280791030  -26.82965    -60.92689     0.11      0.13     0.18     1 
2280791032  -26.82869    -60.86232     0.41     -0.24     0.48     1 
2280791036  -26.82668    -60.73320    -0.02      0.07     0.08     1 
2280791037  -26.82615    -60.70092     0.21      0.15     0.26     1 
2280791038  -26.82563    -60.66864    -0.14      0.02     0.14     1 
2280791039  -26.82509    -60.63636     0.13     -0.10     0.17     1 
2280791040  -26.82455    -60.60409     0.13     -0.03     0.13     1 
2280791041  -26.82400    -60.57181     0.07      0.04     0.08     1 
2280791042  -26.82344    -60.53954     0.10     -0.03     0.10     1 
2280791044  -26.82230    -60.47499     0.11     -0.02     0.11     1 
2280791046  -26.82113    -60.41045    -0.07     -0.01     0.07     1 
2280791064  -26.86832    -62.25090     0.09     -0.46     0.47     1 
2280791066  -26.86796    -62.18627    -0.09     -0.26     0.28     1 
2280791069  -26.86737    -62.08933    -0.07     -0.34     0.34     1 
2280791071  -26.86694    -62.02471     0.07     -0.23     0.24     1 
2280791075  -26.86598    -61.89547    -0.03     -0.14     0.15     1 
2280791076  -26.86573    -61.86316    -0.13     -0.04     0.13     1 
2280791077  -26.86547    -61.83085    -0.13     -0.21     0.25     1 
2280791078  -26.86519    -61.79854     0.13     -0.12     0.18     1 
2280791081  -26.86434    -61.70162     0.09      0.14     0.16     1 
2280791082  -26.86404    -61.66931    -0.11     -0.20     0.23     1 
2280791083  -26.86373    -61.63701     0.05     -0.12     0.13     1 
2280791088  -26.86208    -61.47548    -0.07     -0.04     0.08     1 
2280791091  -26.86100    -61.37858    -0.10      0.10     0.14     1 
2280791092  -26.86063    -61.34627     0.06     -0.09     0.11     1 
2280791093  -26.86024    -61.31397     0.05     -0.01     0.05     1 
2280791094  -26.85986    -61.28167    -0.02     -0.08     0.09     1 
2280791095  -26.85946    -61.24938    -0.08      0.01     0.08     1 
2280791096  -26.85906    -61.21708    -0.06     -0.02     0.06     1 
2280791097  -26.85864    -61.18478     0.21      0.00     0.21     1 
2280791098  -26.85823    -61.15248    -0.02     -0.11     0.11     1 
2280791103  -26.85602    -60.99101    -0.03      0.02     0.03     1 
2280791109  -26.85314    -60.79727    -0.23      0.04     0.24     1 
2280791111  -26.85212    -60.73269     0.29     -0.04     0.29     1 
2280791112  -26.85159    -60.70041     0.11      0.02     0.12     1 
2280791113  -26.85107    -60.66812     0.10      0.03     0.11     1 
2280791114  -26.85053    -60.63584     0.20     -0.00     0.20     1 
2280791115  -26.84999    -60.60355    -0.09     -0.08     0.12     1 
2280791117  -26.84888    -60.53899    -0.20      0.03     0.20     1 
2280791118  -26.84831    -60.50671    -0.07      0.06     0.09     1 
2280791145  -26.89261    -62.05681     0.19     -0.31     0.37     1 
2280791147  -26.89217    -61.99217     0.16     -0.14     0.21     1 
