==============================================================================
==============================================================================
Wed. Nov. 4 2015                  LANDSAT 5                       Time: 01:22
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601511035998_00057                          Path / Row - 228 / 79
Reference Image: L51CUB1088095130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 97.1%
Rank   2 --  2.9%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790095  -26.53082    -62.06581     0.02     -0.02     0.02     1 
2280790240  -26.58268    -62.22204     0.02     -0.38     0.38     1 
2280790245  -26.58174    -62.06540     0.06      0.27     0.28     1 
2280790315  -26.60814    -62.22187     0.19     -0.21     0.28     1 
2280790320  -26.60720    -62.06519    -0.03     -0.02     0.04     1 
2280790332  -26.60423    -61.68920    -0.51     -0.20     0.55     2 
2280790335  -26.60333    -61.59522     0.12     -0.06     0.14     1 
2280790392  -26.63324    -62.15901     0.37     -0.02     0.37     1 
2280790397  -26.63223    -62.00230     0.10      0.32     0.33     1 
2280790398  -26.63201    -61.97096     0.00     -0.13     0.13     1 
2280790409  -26.62909    -61.62624    -0.19      0.09     0.21     1 
2280790410  -26.62879    -61.59490     0.01     -0.14     0.14     1 
2280790411  -26.62848    -61.56357    -0.40      0.09     0.41     1 
2280790466  -26.65888    -62.19017    -0.05     -0.32     0.33     1 
2280790471  -26.65790    -62.03343     0.12     -0.20     0.23     1 
2280790472  -26.65769    -62.00208    -0.07     -0.17     0.19     1 
2280790475  -26.65700    -61.90804    -0.19     -0.04     0.19     1 
2280790477  -26.65650    -61.84535    -0.10     -0.21     0.23     1 
2280790478  -26.65624    -61.81400     0.55     -0.03     0.55     2 
2280790479  -26.65598    -61.78265     0.05     -0.05     0.07     1 
2280790480  -26.65571    -61.75131    -0.07     -0.08     0.11     1 
2280790484  -26.65455    -61.62594     0.08      0.05     0.10     1 
2280790494  -26.65117    -61.31254    -0.04      0.02     0.04     1 
2280790495  -26.65080    -61.28120    -0.13     -0.06     0.15     1 
2280790496  -26.65041    -61.24986     0.03     -0.02     0.04     1 
2280790497  -26.65003    -61.21853     0.31      0.23     0.39     1 
2280790540  -26.68452    -62.22135    -0.20     -0.05     0.21     1 
2280790541  -26.68434    -62.18999    -0.13     -0.15     0.20     1 
2280790542  -26.68416    -62.15863    -0.31      0.19     0.37     1 
2280790551  -26.68221    -61.87644    -0.06     -0.22     0.23     1 
2280790558  -26.68030    -61.65698    -0.01     -0.06     0.06     1 
2280790559  -26.68000    -61.62563     0.03     -0.07     0.08     1 
2280790566  -26.67771    -61.40620     0.40     -0.19     0.45     1 
2280790567  -26.67735    -61.37485     0.08      0.03     0.08     1 
2280790569  -26.67662    -61.31216     0.17      0.29     0.34     1 
2280790577  -26.67342    -61.06143     0.27      0.13     0.30     1 
2280790615  -26.70998    -62.22117     0.25     -0.22     0.33     1 
2280790620  -26.70903    -62.06436     0.04     -0.04     0.06     1 
2280790624  -26.70815    -61.93891     0.17     -0.13     0.21     1 
2280790636  -26.70484    -61.56261     0.08      0.00     0.08     1 
2280790639  -26.70385    -61.46855    -0.01     -0.04     0.05     1 
2280790641  -26.70316    -61.40584    -0.05     -0.09     0.10     1 
2280790643  -26.70244    -61.34314    -0.06     -0.06     0.08     1 
2280790646  -26.70132    -61.24909     0.07      0.10     0.12     1 
2280790654  -26.69800    -60.99831    -0.22      0.08     0.24     1 
2280790655  -26.69755    -60.96697     0.13      0.06     0.14     1 
2280790656  -26.69710    -60.93563    -0.02      0.01     0.03     1 
2280790689  -26.73561    -62.25237    -0.19     -0.42     0.46     1 
2280790690  -26.73544    -62.22100     0.08     -0.11     0.14     1 
2280790691  -26.73526    -62.18963    -0.11     -0.19     0.22     1 
2280790701  -26.73312    -61.87594    -0.35     -0.05     0.35     1 
2280790710  -26.73061    -61.59366    -0.13     -0.07     0.15     1 
2280790711  -26.73029    -61.56229     0.11      0.07     0.13     1 
