==============================================================================
==============================================================================
Sun. Feb. 22 2015                  LANDSAT 5                       Time: 02:38
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601502211844_00197                          Path / Row - 228 / 79
Reference Image: L51CUB1010299130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 65.7%
Rank   2 -- 32.2%
Rank   3 --  2.1%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790736  -26.72268    -60.76541     0.40      0.04     0.41     1 
2280790778  -26.76092    -61.82981     0.37     -0.04     0.37     1 
2280790783  -26.75949    -61.66842     0.53     -0.07     0.53     2 
2280790785  -26.75887    -61.60387     0.66     -0.17     0.69     2 
2280790792  -26.75646    -61.37795     0.19      0.06     0.20     1 
2280790793  -26.75609    -61.34568     0.13      0.04     0.14     1 
2280790795  -26.75532    -61.28114     0.12      0.08     0.14     1 
2280790797  -26.75453    -61.21660    -0.00      0.00     0.00     1 
2280790798  -26.75412    -61.18433     0.14      0.12     0.18     1 
2280790800  -26.75328    -61.11980     0.16     -0.13     0.21     1 
2280790802  -26.75240    -61.05527    -0.16      0.10     0.19     1 
2280790805  -26.75104    -60.95848    -0.06      0.01     0.06     1 
2280790806  -26.75058    -60.92621     0.08      0.09     0.12     1 
2280790807  -26.75010    -60.89395    -0.03      0.05     0.06     1 
2280790810  -26.74863    -60.79717    -0.24     -0.01     0.24     1 
2280790811  -26.74812    -60.76492     0.08      0.08     0.12     1 
2280790812  -26.74761    -60.73266     0.13     -0.07     0.15     1 
2280790813  -26.74709    -60.70040     0.12     -0.15     0.19     1 
2280790815  -26.74603    -60.63589     0.14     -0.03     0.14     1 
2280790848  -26.78761    -61.99099     0.22     -0.01     0.22     1 
