580	0		0.0021	0.0018
590	0		0.0023	0.002
600	0		0.0089	0.0079
605	0		0.0231	0.0205
610	0		0.0415	0.0375
611	0		0.0453	0.0409
612	0		0.0616	0.0555
613	0		0.0811	0.073
614	0.0005		0.1007	0.0906
615	0.0001		0.1204	0.1082
616	0		0.1402	0.1262
617	0.0005		0.1602	0.1444
618	0.0006		0.1803	0.1626
619	0.0014		0.2402	0.2169
620	0.002		0.3271	0.2958
621	0.003		0.4145	0.3759
622	0.006		0.4491	0.4086
623	0.013		0.4706	0.4293
624	0.025		0.4921	0.4503
625	0.047		0.5138	0.4715
626	0.083		0.5354	0.4923
627	0.137		0.5572	0.5132
628	0.211		0.579	0.5343
629	0.306		0.601	0.5555
630	0.419		0.6235	0.5774
631	0.545		0.6504	0.6031
632	0.674		0.6866	0.6374
633	0.788		0.7366	0.6848
634	0.873		0.7869	0.7325
635	0.921		0.8027	0.7482
636	0.941		0.8185	0.7642
637	0.943		0.8345	0.7802
638	0.942		0.8485	0.7947
639	0.939		0.8598	0.8065
640	0.937		0.8711	0.8184
641	0.935		0.8826	0.8304
642	0.935		0.8941	0.8424
643	0.938		0.9056	0.8545
644	0.943		0.9116	0.8614
645	0.949		0.917	0.8678
646	0.953		0.9224	0.8743
647	0.961		0.9278	0.8809
648	0.968		0.9332	0.8875
649	0.971		0.9386	0.8971
650	0.973		0.9441	0.9008
651	0.974		0.9433	0.9017
652	0.972		0.9424	0.9026
653	0.969		0.9415	0.9035
654	0.963		0.9406	0.9044
655	0.958		0.9397	0.9052
656	0.956		0.9388	0.9055
657	0.955		0.9379	0.9058
658	0.955		0.937	0.906
659	0.956		0.936	0.9062
660	0.962		0.9351	0.9064
661	0.969		0.9372	0.9104
662	0.977		0.9394	0.9143
663	0.983		0.9429	0.9195
664	0.988		0.9483	0.9266
665	0.993		0.9537	0.9338
666	0.996		0.9591	0.9412
667	0.997		0.9646	0.9488
668	0.999		0.97	0.9563
669	1.000		0.9755	0.964
670	1.000		0.9793	0.9699
671	0.998		0.9831	0.9749
672	0.996		0.9869	0.9799
673	0.995		0.9904	0.9847
674	0.993		0.9969	0.9895
675	0.992		0.9964	0.9932
676	0.991		0.9982	0.9966
677	0.989		1	1
678	0.988		0.9977	0.9995
679	0.984		0.9957	0.9989
680	0.977		0.9936	0.9983
681	0.970		0.9725	0.9784
682	0.960		0.9734	0.9806
683	0.949		0.9742	0.9827
684	0.940		0.9635	0.9732
685	0.932		0.9451	0.9558
686	0.919		0.9265	0.9384
687	0.898		0.9078	0.9209
688	0.863		0.871	0.885
689	0.809		0.822	0.8364
690	0.729		0.7727	0.7874
691	0.625		0.6869	0.7
692	0.506		0.594	0.6052
693	0.382		0.5049	0.5144
694	0.272		0.4333	0.4413
695	0.183		0.3612	0.3678
696	0.120		0.2888	0.2942
697	0.079		0.2235	0.2277
698	0.053		0.1879	0.1916
699	0.036		0.1522	0.1552
700	0.025		0.1162	0.1186
701	0.0196		0.1056	0.1079
702	0.0142		0.095	0.0972
703	0.0101		0.0844	0.0864
704	0.0075		0.0737	0.0756
705	0		0.0629	0.0646
710	0		0.045	0.0464
715	0		0.03	0.0309
720	0		0.0195	0.02
725	0		0.0121	0.0123
730	0		0.0061	0.0062
740	0		0.0031	0.0031
