==============================================================================
==============================================================================
Mon. Nov. 23 2015                  LANDSAT 5                       Time: 04:02
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601511223829_00008                          Path / Row - 230 / 77
Reference Image: L51CUB1092104130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2300770492  -23.77006    -63.78366    -0.00     -0.01     0.01     1 
2300770493  -23.77022    -63.75334    -0.02      0.02     0.03     1 
2300770496  -23.77063    -63.66237     0.16      0.02     0.16     1 
2300770497  -23.77076    -63.63204    -0.03      0.10     0.10     1 
2300770498  -23.77088    -63.60172     0.01      0.02     0.03     1 
2300770499  -23.77100    -63.57139    -0.11      0.07     0.12     1 
2300770500  -23.77110    -63.54107    -0.06      0.04     0.07     1 
2300770502  -23.77131    -63.48042    -0.05     -0.00     0.05     1 
2300770542  -23.78928    -64.54194    -0.06     -0.01     0.06     1 
2300770543  -23.78958    -64.51162    -0.06      0.03     0.07     1 
2300770544  -23.78987    -64.48130    -0.08      0.14     0.16     1 
2300770545  -23.79016    -64.45098    -0.04      0.12     0.13     1 
2300770546  -23.79044    -64.42066     0.01      0.08     0.08     1 
2300770547  -23.79072    -64.39034    -0.02      0.03     0.04     1 
2300770548  -23.79099    -64.36002    -0.03      0.01     0.03     1 
2300770549  -23.79125    -64.32969    -0.04      0.03     0.05     1 
2300770551  -23.79177    -64.26905    -0.06      0.06     0.09     1 
2300770552  -23.79201    -64.23872    -0.06      0.01     0.06     1 
2300770553  -23.79225    -64.20840    -0.03     -0.05     0.06     1 
2300770554  -23.79249    -64.17807    -0.02     -0.01     0.02     1 
2300770555  -23.79272    -64.14775    -0.01     -0.04     0.05     1 
2300770556  -23.79294    -64.11742    -0.08      0.04     0.09     1 
