Sun. Nov. 22, 2015             LANDSAT 5                 Time: 21:53
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L16897650            Path/Row: 230 / 077

L0R Reference Image: L51CUB1092104130100_HDF.153270029
Acquisition Date: Apr 13, 1992

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
230   077   04-14-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2300770170_01  -23.948383  -63.150857   251.059      -0.414     0.297    -0.454     0.232
2300770172_01  -25.032244  -64.727470  1345.121      -0.985    -1.161    -0.799    -1.293
2300770173_01  -24.189059  -62.929895   236.239       0.409    -2.284     0.747    -2.195
2300770174_01  -24.799535  -64.754496  1550.113       2.364     6.621     1.344     6.884
2300770175_01  -24.385924  -64.475158  1669.401      -0.704     2.640    -1.089     2.497
2300770176_01  -23.999315  -63.160060   249.358      -0.287     0.463    -0.353     0.414
2300770177_01  -24.607946  -64.458491  1259.450       3.156     2.140     2.794     2.583
2300770178_01  -24.242590  -64.636877   577.992      -2.009     3.191    -2.463     2.849
2300770179_01  -23.999375  -63.416666   253.251      -1.106     0.454    -1.160     0.283
2300770180_01  -24.254392  -64.181698   942.549       0.177     3.184    -0.302     3.169
2300770181_01  -23.978526  -63.051805   246.257      -0.547     0.338    -0.590     0.252
2300770182_01  -24.288712  -63.519886   279.535      -2.947    -3.023    -2.458    -3.428
2300770185_01  -23.870029  -63.189661   255.854       0.943    -0.398     0.992    -0.251
2300770186_01  -24.077432  -63.040039   242.911      -1.100     0.152    -1.109    -0.015
2300770187_01  -25.086974  -63.697837   341.922      -0.768     2.606    -1.148     2.460
2300770188_01  -25.207271  -63.568687   329.725      -3.021     0.639    -3.080     0.181
2300770189_01  -24.700761  -64.193880   485.342       6.770     2.176     6.362     3.163
2300770190_01  -24.514588  -64.503599  2073.168       1.214     4.964     0.454     5.073
2300770192_01  -23.822314  -63.208443   257.912       1.065     2.368     0.697     2.499
2300770193_01  -23.939142  -63.176790   252.318      -0.041     0.221    -0.074     0.212
2300770194_01  -23.817503  -63.325956   260.000      -0.214     0.528    -0.290     0.490
2300770196_01  -24.021835  -63.128523   245.886      -0.713     0.091    -0.717    -0.017
2300770197_01  -24.349502  -64.402290  2133.923       1.184    -4.711     1.870    -4.465
2300770198_01  -24.919493  -63.510021   315.417       5.454     1.501     5.164     2.298
2300770199_01  -24.016899  -63.186336   248.428       1.409     0.793     1.274     0.995
2300770200_01  -23.919677  -63.131959   251.963      -0.201    -1.386     0.010    -1.399
2300770201_01  -24.767114  -64.497429   686.107      -0.142     1.487    -0.363     1.447
2300770202_01  -23.808164  -63.248180   257.737       1.090     3.398     0.566     3.521
2300770203_01  -24.026619  -64.565999   545.296       1.397    -1.099     1.545    -0.876
2300770204_01  -23.948400  -63.317439   253.000      -0.769    -0.841    -0.633    -0.946
2300770205_01  -24.250835  -64.150934   545.965       0.203    -2.721     0.608    -2.657
2300770206_01  -23.959830  -63.048554   246.354       1.921    -0.256     1.937     0.035
2300770207_01  -24.550267  -64.713994   746.034      -3.500    -0.662    -3.357    -1.179
2300770208_01  -25.068107  -64.646194   756.030      -3.051    -4.405    -2.356    -4.807
2300770211_01  -24.061166  -62.935867   240.016       0.784     1.250     0.588     1.353
2300770212_01  -23.794444  -63.338266   260.107      -2.073     0.538    -2.129     0.220
2300770213_01  -23.899078  -63.137832   249.813       0.392     1.156     0.214     1.201
2300770214_01  -24.720244  -64.771471  1780.196       0.017    -2.608     0.406    -2.570
2300770215_01  -24.583911  -64.302682   584.665      -2.102    -4.821    -1.355    -5.077
2300770217_01  -24.647757  -64.431389   779.638      -0.164    -0.748    -0.050    -0.764
2300770218_01  -25.087227  -64.925422  1134.116       0.969    -0.660     1.054    -0.507
2300770219_01  -23.988071  -63.258846   250.279      -1.444     0.312    -1.473     0.091
2300770224_01  -24.081200  -63.097592   244.000       0.837     2.238     0.491     2.337
2300770225_01  -24.050580  -63.098159   245.842       0.752    -0.447     0.810    -0.329
2300770226_01  -24.220689  -63.330815   257.872      -0.371    -2.288    -0.023    -2.317
2300770228_01  -23.967906  -63.135841   247.009      -1.561     0.667    -1.642     0.424
2300770230_01  -24.028934  -63.009047   244.040      -1.565    -0.461    -1.476    -0.691
2300770234_01  -23.972568  -63.290958   254.711      -0.921     2.035    -1.215     1.872
2300770235_01  -23.833538  -63.418491   259.764      -0.709    -1.629    -0.455    -1.715
2300770236_01  -23.879993  -63.234762   256.002       0.392     0.196     0.358     0.252
2300770240_01  -23.900928  -63.182928   253.568       0.591    -0.025     0.588     0.064
2300770241_01  -23.828122  -63.083558   250.338      -0.894     0.460    -0.952     0.320
2300770242_01  -24.971145  -64.349524   553.894       1.079    -2.340     1.415    -2.151
2300770243_01  -23.877412  -63.123960   253.196       0.668     0.338     0.609     0.434
2300770246_01  -23.880157  -63.067384   250.974       1.415    -0.842     1.525    -0.619
2300770247_01  -24.096400  -63.041521   241.377       0.201     1.535    -0.032     1.547
2300770248_01  -24.556326  -64.417613   863.036      -2.881    -1.075    -2.684    -1.493
2300770249_01  -23.852395  -63.205840   256.126       0.894     1.615     0.641     1.730
