==============================================================================
==============================================================================
Wed. Nov. 19 2014                  LANDSAT 5                       Time: 03:27
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601411188997_00001                          Path / Row - 228 / 79
Reference Image: L51CUB1088079130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 94.2%
Rank   2 --  5.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790095  -26.52813    -62.06884     0.13     -0.11     0.17     1 
2280790096  -26.52792    -62.03753     0.26     -0.20     0.33     1 
2280790166  -26.55436    -62.19392     0.06     -0.21     0.22     1 
2280790175  -26.55248    -61.91204     0.33     -0.28     0.43     1 
2280790245  -26.57905    -62.06843     0.39      0.29     0.49     1 
2280790253  -26.57719    -61.81783     0.12      0.06     0.14     1 
2280790317  -26.60509    -62.16223     0.11      0.02     0.11     1 
2280790320  -26.60451    -62.06822     0.10      0.01     0.10     1 
2280790335  -26.60066    -61.59826     0.14     -0.12     0.19     1 
2280790390  -26.63091    -62.22472     0.13      0.09     0.16     1 
2280790392  -26.63055    -62.16204     0.49     -0.04     0.49     1 
2280790395  -26.62997    -62.06802     0.17     -0.16     0.23     1 
2280790397  -26.62954    -62.00534     0.18      0.11     0.21     1 
2280790398  -26.62932    -61.97400     0.31     -0.19     0.36     1 
2280790406  -26.62729    -61.72329     0.06     -0.13     0.14     1 
2280790409  -26.62642    -61.62929     0.02     -0.06     0.06     1 
2280790410  -26.62611    -61.59795     0.28     -0.20     0.35     1 
2280790411  -26.62580    -61.56662    -0.13      0.13     0.18     1 
2280790472  -26.65500    -62.00512     0.17     -0.06     0.18     1 
2280790475  -26.65431    -61.91108    -0.00     -0.00     0.00     1 
2280790477  -26.65382    -61.84839    -0.09     -0.13     0.16     1 
2280790479  -26.65329    -61.78570     0.29     -0.13     0.32     1 
2280790494  -26.64850    -61.31559     0.08      0.06     0.10     1 
2280790495  -26.64813    -61.28426     0.12      0.00     0.12     1 
2280790496  -26.64775    -61.25292     0.33     -0.15     0.36     1 
2280790497  -26.64736    -61.22158    -0.05      0.18     0.19     1 
2280790540  -26.68183    -62.22438    -0.12     -0.07     0.14     1 
2280790541  -26.68165    -62.19302     0.33      0.05     0.34     1 
2280790542  -26.68147    -62.16167    -0.10      0.34     0.35     1 
2280790543  -26.68128    -62.13031     0.08     -0.39     0.40     1 
2280790551  -26.67953    -61.87948     0.55     -0.36     0.66     2 
2280790555  -26.67848    -61.75408     0.07     -0.02     0.08     1 
2280790556  -26.67820    -61.72273     0.25     -0.14     0.29     1 
2280790558  -26.67762    -61.66003     0.12     -0.09     0.15     1 
2280790559  -26.67732    -61.62868     0.28     -0.11     0.30     1 
2280790567  -26.67468    -61.37790     0.26     -0.02     0.26     1 
2280790569  -26.67395    -61.31522     0.39      0.16     0.43     1 
2280790575  -26.67160    -61.12717     0.14     -0.01     0.14     1 
2280790577  -26.67076    -61.06449     0.23     -0.04     0.23     1 
2280790615  -26.70729    -62.22421     0.35     -0.20     0.40     1 
2280790620  -26.70634    -62.06740     0.48     -0.06     0.48     1 
2280790624  -26.70546    -61.94195     0.24     -0.12     0.27     1 
2280790634  -26.70278    -61.62837     0.49     -0.33     0.59     2 
2280790635  -26.70247    -61.59702    -0.39     -0.24     0.45     1 
2280790636  -26.70216    -61.56566     0.31     -0.21     0.38     1 
2280790637  -26.70184    -61.53431     0.29     -0.24     0.38     1 
2280790639  -26.70118    -61.47160     0.20     -0.11     0.22     1 
2280790640  -26.70084    -61.44025     0.02     -0.58     0.58     2 
2280790641  -26.70049    -61.40890     0.03      0.01     0.03     1 
2280790642  -26.70013    -61.37754     0.56      0.04     0.56     2 
2280790643  -26.69977    -61.34619     0.08     -0.04     0.09     1 
2280790654  -26.69534    -61.00137     0.24      0.02     0.24     1 
2280790656  -26.69444    -60.93869     0.05     -0.15     0.16     1 
