==============================================================================
==============================================================================
Wed. Nov. 4 2015                  LANDSAT 5                       Time: 00:08
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601511036010_00107                          Path / Row - 228 / 79
Reference Image: L51CUB1088207130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 93.8%
Rank   2 --  6.2%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790091  -26.52085    -62.20921    -0.16     -0.44     0.47     1 
2280790170  -26.54556    -62.08376    -0.21     -0.54     0.58     2 
2280790241  -26.57177    -62.20886    -0.17     -0.37     0.40     1 
2280790316  -26.59723    -62.20868    -0.16     -0.52     0.54     2 
2280790325  -26.59539    -61.92670    -0.15     -0.03     0.15     1 
2280790393  -26.62233    -62.14583    -0.09     -0.28     0.29     1 
2280790395  -26.62194    -62.08315    -0.07     -0.42     0.42     1 
2280790396  -26.62174    -62.05181    -0.29     -0.33     0.44     1 
2280790397  -26.62152    -62.02047    -0.36     -0.46     0.58     2 
2280790406  -26.61930    -61.73845    -0.08     -0.10     0.12     1 
2280790409  -26.61844    -61.64445     0.35     -0.08     0.36     1 
2280790410  -26.61813    -61.61311    -0.04     -0.09     0.10     1 
2280790465  -26.64832    -62.23968     0.36     -0.44     0.56     2 
2280790468  -26.64779    -62.14564    -0.40     -0.06     0.40     1 
2280790474  -26.64654    -61.95757    -0.17     -0.55     0.57     2 
2280790475  -26.64630    -61.92622    -0.17     -0.29     0.34     1 
2280790480  -26.64503    -61.76951     0.51     -0.19     0.55     2 
2280790485  -26.64359    -61.61281    -0.24     -0.01     0.24     1 
2280790486  -26.64328    -61.58147    -0.16     -0.01     0.16     1 
2280790495  -26.64018    -61.29944     0.10      0.20     0.22     1 
2280790496  -26.63981    -61.26811    -0.25      0.07     0.26     1 
2280790540  -26.67378    -62.23951    -0.03     -0.38     0.38     1 
2280790552  -26.67127    -61.86328    -0.38     -0.23     0.44     1 
2280790554  -26.67075    -61.80058    -0.37      0.08     0.38     1 
2280790559  -26.66934    -61.64384    -0.14     -0.31     0.34     1 
2280790568  -26.66637    -61.36175    -0.03      0.00     0.03     1 
2280790569  -26.66601    -61.33040    -0.09      0.01     0.09     1 
2280790572  -26.66487    -61.23638    -0.10     -0.07     0.12     1 
2280790573  -26.66448    -61.20504    -0.24     -0.08     0.25     1 
2280790615  -26.69924    -62.23934    -0.52     -0.27     0.59     2 
2280790616  -26.69907    -62.20798    -0.53     -0.35     0.64     2 
2280790628  -26.69647    -61.83167    -0.27      0.21     0.34     1 
2280790631  -26.69567    -61.73761    -0.14     -0.15     0.21     1 
2280790634  -26.69480    -61.64354    -0.44      0.13     0.46     1 
2280790636  -26.69419    -61.58084     0.18      0.13     0.22     1 
2280790637  -26.69387    -61.54948    -0.14     -0.40     0.42     1 
2280790640  -26.69288    -61.45543    -0.17     -0.18     0.24     1 
2280790642  -26.69218    -61.39273    -0.05     -0.03     0.06     1 
2280790643  -26.69182    -61.36138    -0.13     -0.08     0.16     1 
2280790649  -26.68953    -61.17330     0.04      0.04     0.06     1 
2280790654  -26.68743    -61.01658    -0.34      0.33     0.48     1 
2280790657  -26.68608    -60.92256    -0.09      0.37     0.38     1 
2280790690  -26.72470    -62.23917    -0.40     -0.39     0.56     2 
2280790706  -26.72112    -61.73733    -0.10     -0.32     0.33     1 
2280790707  -26.72084    -61.70596     0.57      0.15     0.59     2 
2280790711  -26.71964    -61.58052    -0.16     -0.06     0.17     1 
2280790712  -26.71932    -61.54916     0.10     -0.33     0.35     1 
2280790714  -26.71867    -61.48645    -0.07      0.09     0.12     1 
2280790715  -26.71833    -61.45509    -0.11     -0.10     0.15     1 
2280790716  -26.71799    -61.42373     0.04     -0.30     0.30     1 
2280790721  -26.71616    -61.26695     0.04      0.02     0.04     1 
2280790733  -26.71106    -60.89075     0.12     -0.01     0.12     1 
