==============================================================================
==============================================================================
Tue. Oct. 7 2014                  LANDSAT 5                       Time: 06:20
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601410068931_00032                          Path / Row - 228 / 79
Reference Image: L51CUB1011078130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.6%
Rank   2 --  4.4%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790785  -26.75845    -61.56164     0.05     -0.09     0.10     1 
2280790786  -26.75812    -61.52936     0.04     -0.07     0.08     1 
2280790794  -26.75520    -61.27119     0.09      0.04     0.10     1 
2280790797  -26.75399    -61.17438     0.05     -0.00     0.05     1 
2280790799  -26.75314    -61.10985     0.10      0.02     0.10     1 
2280790801  -26.75227    -61.04532     0.07     -0.04     0.08     1 
2280790806  -26.74995    -60.88400    -0.04      0.17     0.17     1 
2280790808  -26.74897    -60.81948     0.00      0.18     0.18     1 
2280790810  -26.74797    -60.75497    -0.05      0.09     0.10     1 
2280790811  -26.74745    -60.72271     0.08     -0.05     0.09     1 
2280790812  -26.74693    -60.69045     0.18     -0.10     0.20     1 
2280790813  -26.74640    -60.65820     0.05      0.22     0.23     1 
2280790814  -26.74586    -60.62595     0.30     -0.25     0.40     1 
2280790815  -26.74532    -60.59369    -0.13     -0.12     0.18     1 
2280790847  -26.78754    -61.98103     0.18      0.03     0.19     1 
2280790848  -26.78731    -61.94874     0.46     -0.19     0.50     2 
2280790852  -26.78629    -61.81959     0.11     -0.20     0.23     1 
2280790853  -26.78602    -61.78731     0.09     -0.08     0.12     1 
2280790856  -26.78515    -61.69045     0.07      0.08     0.10     1 
2280790859  -26.78423    -61.59360     0.13     -0.00     0.13     1 
2280790860  -26.78390    -61.56132    -0.03     -0.05     0.06     1 
2280790864  -26.78253    -61.43219     0.22     -0.15     0.26     1 
2280790865  -26.78217    -61.39991    -0.30      0.19     0.35     1 
2280790866  -26.78180    -61.36763     0.02     -0.13     0.13     1 
2280790872  -26.77944    -61.17397     0.05      0.06     0.08     1 
2280790874  -26.77859    -61.10943     0.18     -0.01     0.18     1 
2280790876  -26.77771    -61.04488     0.13      0.10     0.17     1 
2280790880  -26.77587    -60.91580     0.01      0.14     0.14     1 
2280790883  -26.77442    -60.81900     0.20      0.07     0.22     1 
2280790885  -26.77341    -60.75447     0.23      0.00     0.23     1 
2280790887  -26.77237    -60.68994     0.23      0.20     0.30     1 
2280790888  -26.77184    -60.65768     0.11      0.05     0.12     1 
2280790889  -26.77130    -60.62542     0.08      0.01     0.08     1 
2280790890  -26.77076    -60.59316    -0.05      0.24     0.24     1 
2280790893  -26.76908    -60.49638    -0.11      0.10     0.15     1 
2280790894  -26.76851    -60.46412     0.06     -0.00     0.06     1 
2280790895  -26.76793    -60.43187    -0.02     -0.03     0.03     1 
2280790921  -26.81323    -62.01310     0.03     -0.21     0.21     1 
2280790922  -26.81300    -61.98080     0.46     -0.24     0.52     2 
2280790927  -26.81175    -61.81933     0.09     -0.01     0.09     1 
2280790929  -26.81119    -61.75474     0.58     -0.21     0.61     2 
2280790930  -26.81090    -61.72245    -0.04     -0.14     0.15     1 
2280790933  -26.81000    -61.62558     0.23      0.26     0.35     1 
2280790934  -26.80968    -61.59329     0.06     -0.10     0.12     1 
2280790939  -26.80798    -61.43184     0.03      0.11     0.11     1 
2280790940  -26.80762    -61.39956     0.11      0.11     0.16     1 
2280790943  -26.80649    -61.30270     0.01      0.03     0.04     1 
2280790944  -26.80610    -61.27041     0.05     -0.16     0.17     1 
2280790955  -26.80132    -60.91533     0.21      0.02     0.21     1 
2280790956  -26.80084    -60.88306     0.23     -0.01     0.23     1 
2280790957  -26.80035    -60.85079     0.06      0.02     0.06     1 
2280790960  -26.79885    -60.75397    -0.23      0.11     0.26     1 
2280790961  -26.79833    -60.72169     0.10      0.06     0.12     1 
2280790962  -26.79781    -60.68942    -0.16      0.06     0.17     1 
2280790963  -26.79728    -60.65716    -0.12      0.21     0.25     1 
2280790964  -26.79674    -60.62489     0.15      0.10     0.17     1 
2280790965  -26.79620    -60.59262    -0.22      0.32     0.39     1 
2280790967  -26.79509    -60.52809     0.04      0.01     0.05     1 
2280790969  -26.79394    -60.46356    -0.01     -0.03     0.03     1 
2280790970  -26.79336    -60.43129    -0.03      0.01     0.03     1 
2280790971  -26.79277    -60.39903     0.05     -0.03     0.06     1 
2280790991  -26.83972    -62.17440    -0.08     -0.34     0.35     1 
2280790998  -26.83822    -61.94827     0.06     -0.30     0.30     1 
2280790999  -26.83798    -61.91597     0.01     -0.33     0.33     1 
2280791003  -26.83693    -61.78676    -0.02     -0.21     0.22     1 
2280791005  -26.83636    -61.72216     0.19     -0.12     0.22     1 
2280791007  -26.83576    -61.65757     0.07     -0.36     0.36     1 
2280791008  -26.83545    -61.62527     0.01     -0.00     0.01     1 
2280791010  -26.83481    -61.56067     0.11     -0.06     0.13     1 
2280791012  -26.83414    -61.49608     0.14     -0.03     0.15     1 
2280791013  -26.83379    -61.46379     0.26      0.21     0.33     1 
2280791016  -26.83270    -61.36691     0.05      0.28     0.28     1 
2280791017  -26.83233    -61.33461    -0.03     -0.17     0.18     1 
2280791018  -26.83194    -61.30232     0.08     -0.01     0.08     1 
2280791019  -26.83155    -61.27003     0.08     -0.03     0.09     1 
2280791030  -26.82676    -60.91487     0.28     -0.02     0.28     1 
2280791031  -26.82628    -60.88259    -0.13      0.08     0.15     1 
2280791033  -26.82530    -60.81802    -0.20      0.26     0.33     1 
2280791037  -26.82325    -60.68891     0.16      0.06     0.17     1 
2280791038  -26.82272    -60.65663    -0.34      0.14     0.37     1 
2280791039  -26.82218    -60.62436     0.11      0.01     0.11     1 
2280791040  -26.82164    -60.59208     0.18     -0.07     0.19     1 
2280791041  -26.82108    -60.55981     0.11     -0.17     0.20     1 
2280791043  -26.81996    -60.49526     0.01     -0.00     0.01     1 
2280791044  -26.81938    -60.46299     0.10      0.06     0.12     1 
2280791045  -26.81880    -60.43072    -0.08      0.07     0.11     1 
2280791066  -26.86518    -62.17421     0.02      0.20     0.20     1 
2280791070  -26.86437    -62.04496    -0.00     -0.37     0.37     1 
2280791072  -26.86391    -61.98034    -0.00     -0.08     0.08     1 
2280791073  -26.86368    -61.94803    -0.15     -0.18     0.23     1 
2280791074  -26.86343    -61.91573     0.05     -0.05     0.07     1 
2280791081  -26.86152    -61.68957     0.26     -0.17     0.31     1 
2280791082  -26.86122    -61.65727     0.05     -0.11     0.12     1 
2280791083  -26.86090    -61.62496     0.05     -0.17     0.18     1 
2280791084  -26.86059    -61.59266    -0.33      0.09     0.34     1 
2280791086  -26.85993    -61.52805     0.10     -0.09     0.14     1 
2280791087  -26.85959    -61.49575     0.01     -0.09     0.09     1 
2280791088  -26.85924    -61.46344     0.00     -0.09     0.09     1 
2280791089  -26.85889    -61.43114     0.13      0.05     0.14     1 
2280791090  -26.85852    -61.39884     0.06      0.04     0.07     1 
2280791091  -26.85816    -61.36654     0.12     -0.15     0.19     1 
2280791092  -26.85778    -61.33424    -0.12     -0.08     0.14     1 
2280791093  -26.85739    -61.30194     0.18      0.03     0.19     1 
2280791094  -26.85700    -61.26964     0.17     -0.01     0.17     1 
2280791095  -26.85660    -61.23734     0.02     -0.10     0.10     1 
2280791096  -26.85620    -61.20505    -0.04     -0.05     0.07     1 
2280791097  -26.85578    -61.17275     0.32     -0.02     0.32     1 
2280791098  -26.85536    -61.14045     0.05      0.18     0.19     1 
2280791099  -26.85493    -61.10816     0.21     -0.20     0.29     1 
2280791100  -26.85450    -61.07586     0.34      0.12     0.36     1 
2280791101  -26.85405    -61.04357     0.20     -0.13     0.24     1 
2280791103  -26.85315    -60.97899     0.14     -0.06     0.16     1 
2280791106  -26.85173    -60.88211     0.03     -0.17     0.17     1 
2280791107  -26.85124    -60.84982    -0.01     -0.19     0.19     1 
2280791110  -26.84973    -60.75296     0.26     -0.05     0.26     1 
2280791111  -26.84922    -60.72068     0.10      0.01     0.10     1 
2280791112  -26.84869    -60.68839     0.20      0.14     0.25     1 
2280791113  -26.84816    -60.65611     0.11     -0.16     0.19     1 
2280791114  -26.84762    -60.62382     0.02      0.17     0.17     1 
2280791116  -26.84652    -60.55926     0.58      0.05     0.58     2 
2280791117  -26.84596    -60.52698    -0.11      0.30     0.32     1 
2280791118  -26.84539    -60.49470     0.08     -0.19     0.20     1 
2280791145  -26.88982    -62.04475     0.12     -0.32     0.35     1 
2280791147  -26.88937    -61.98012     0.19     -0.09     0.21     1 
2280791148  -26.88913    -61.94780     0.05     -0.39     0.39     1 
2280791151  -26.88838    -61.85085     0.14      0.04     0.15     1 
2280791154  -26.88756    -61.75391     0.35     -0.01     0.35     1 
2280791155  -26.88727    -61.72159     0.19     -0.19     0.27     1 
2280791157  -26.88667    -61.65697     0.07     -0.22     0.23     1 
2280791158  -26.88636    -61.62465     0.09      0.05     0.10     1 
2280791159  -26.88604    -61.59234     0.31     -0.07     0.32     1 
2280791161  -26.88538    -61.52772    -0.08     -0.16     0.18     1 
2280791163  -26.88469    -61.46310     0.14     -0.00     0.14     1 
2280791164  -26.88434    -61.43079     0.17     -0.02     0.17     1 
2280791165  -26.88397    -61.39848     0.44      0.07     0.45     1 
2280791166  -26.88360    -61.36617     0.06     -0.08     0.10     1 
2280791168  -26.88284    -61.30156    -0.06     -0.04     0.08     1 
2280791169  -26.88245    -61.26925     0.10     -0.05     0.12     1 
2280791170  -26.88205    -61.23695     0.05     -0.08     0.09     1 
2280791172  -26.88123    -61.17234     0.23     -0.06     0.23     1 
2280791173  -26.88081    -61.14004     0.11     -0.13     0.17     1 
2280791174  -26.88038    -61.10773    -0.10      0.01     0.10     1 
2280791177  -26.87905    -61.01083    -0.12      0.14     0.18     1 
2280791178  -26.87859    -60.97853     0.21     -0.03     0.21     1 
2280791186  -26.87466    -60.72017     0.14     -0.06     0.15     1 
2280791187  -26.87413    -60.68787     0.27     -0.51     0.58     2 
2280791189  -26.87306    -60.62329    -0.35     -0.29     0.45     1 
2280791190  -26.87251    -60.59100     0.11      0.01     0.11     1 
2280791192  -26.87140    -60.52643    -0.06      0.04     0.07     1 
2280791195  -26.86967    -60.42957    -0.24     -0.07     0.25     1 
2280791212  -26.91680    -62.30315     0.06     -0.29     0.30     1 
2280791216  -26.91610    -62.17384    -0.13     -0.06     0.14     1 
2280791217  -26.91590    -62.14151    -0.05      0.03     0.06     1 
2280791220  -26.91528    -62.04454     0.35     -0.31     0.46     1 
2280791222  -26.91483    -61.97989     0.05     -0.19     0.19     1 
2280791224  -26.91435    -61.91524     0.06     -0.20     0.21     1 
2280791226  -26.91383    -61.85059    -0.15     -0.06     0.17     1 
2280791229  -26.91301    -61.75363    -0.03     -0.22     0.23     1 
2280791230  -26.91272    -61.72131    -0.01     -0.19     0.19     1 
2280791232  -26.91212    -61.65666     0.06     -0.10     0.12     1 
2280791233  -26.91181    -61.62434    -0.10     -0.09     0.14     1 
2280791235  -26.91117    -61.55971     0.08     -0.01     0.08     1 
2280791236  -26.91083    -61.52739    -0.24     -0.33     0.41     1 
2280791237  -26.91049    -61.49507    -0.01     -0.08     0.08     1 
2280791238  -26.91014    -61.46276    -0.04     -0.28     0.28     1 
2280791239  -26.90979    -61.43044     0.08     -0.29     0.31     1 
2280791240  -26.90943    -61.39812    -0.07     -0.19     0.20     1 
2280791241  -26.90906    -61.36581     0.08     -0.17     0.18     1 
2280791242  -26.90868    -61.33349    -0.27     -0.08     0.28     1 
2280791243  -26.90829    -61.30118     0.21     -0.33     0.39     1 
2280791244  -26.90790    -61.26887     0.06     -0.06     0.09     1 
2280791245  -26.90750    -61.23655    -0.12     -0.10     0.15     1 
2280791246  -26.90709    -61.20424     0.04     -0.12     0.12     1 
2280791247  -26.90668    -61.17193     0.29     -0.07     0.30     1 
2280791248  -26.90626    -61.13962    -0.03     -0.15     0.15     1 
2280791251  -26.90495    -61.04269     0.08     -0.04     0.09     1 
2280791252  -26.90449    -61.01039    -0.04     -0.04     0.06     1 
2280791256  -26.90261    -60.88116     0.03      0.11     0.12     1 
2280791257  -26.90213    -60.84886    -0.21     -0.08     0.22     1 
2280791266  -26.89740    -60.55817     0.03     -0.19     0.19     1 
2280791267  -26.89683    -60.52587    -0.01     -0.32     0.32     1 
2280791268  -26.89626    -60.49358    -0.01     -0.16     0.16     1 
2280791269  -26.89569    -60.46129    -0.10     -0.06     0.11     1 
2280791270  -26.89510    -60.42900    -0.08     -0.08     0.11     1 
2280791292  -26.94136    -62.14132    -0.02     -0.07     0.08     1 
2280791295  -26.94074    -62.04432     0.09     -0.15     0.18     1 
2280791299  -26.93980    -61.91500     0.30     -0.19     0.35     1 
2280791300  -26.93955    -61.88267     0.00     -0.20     0.20     1 
2280791301  -26.93929    -61.85034     0.28     -0.11     0.31     1 
2280791304  -26.93847    -61.75335     0.09     -0.16     0.19     1 
2280791306  -26.93788    -61.68869     0.17     -0.08     0.19     1 
2280791307  -26.93758    -61.65636     0.01     -0.11     0.11     1 
2280791309  -26.93695    -61.59171     0.04      0.20     0.20     1 
2280791313  -26.93560    -61.46241     0.08     -0.10     0.13     1 
2280791315  -26.93488    -61.39776    -0.08     -0.07     0.10     1 
2280791316  -26.93451    -61.36544     0.07     -0.15     0.16     1 
2280791317  -26.93413    -61.33312     0.08     -0.26     0.27     1 
2280791318  -26.93374    -61.30080    -0.03     -0.15     0.15     1 
2280791319  -26.93335    -61.26848     0.11     -0.16     0.19     1 
2280791320  -26.93295    -61.23616     0.02     -0.14     0.14     1 
2280791321  -26.93254    -61.20384     0.05     -0.07     0.08     1 
2280791322  -26.93213    -61.17152    -0.40     -0.09     0.41     1 
2280791323  -26.93170    -61.13920    -0.02     -0.04     0.04     1 
2280791324  -26.93127    -61.10689     0.24     -0.07     0.25     1 
2280791327  -26.92994    -61.00994    -0.18      0.07     0.19     1 
2280791329  -26.92901    -60.94531    -0.38     -0.17     0.42     1 
2280791330  -26.92854    -60.91300    -0.13      0.07     0.15     1 
2280791331  -26.92806    -60.88069    -0.30      0.02     0.31     1 
2280791332  -26.92757    -60.84838    -0.24     -0.16     0.29     1 
2280791334  -26.92657    -60.78376     0.04      0.14     0.14     1 
2280791336  -26.92554    -60.71914     0.11     -0.11     0.16     1 
2280791341  -26.92283    -60.55762    -0.01     -0.05     0.06     1 
2280791342  -26.92227    -60.52532     0.23      0.53     0.58     2 
2280791343  -26.92170    -60.49302     0.17     -0.06     0.18     1 
2280791344  -26.92112    -60.46072    -0.09      0.15     0.18     1 
2280791345  -26.92054    -60.42842    -0.08     -0.29     0.30     1 
2280791366  -26.96701    -62.17347     0.16     -0.24     0.29     1 
2280791367  -26.96682    -62.14113     0.11     -0.11     0.15     1 
2280791381  -26.96334    -61.68840     0.14     -0.22     0.26     1 
2280791383  -26.96272    -61.62373    -0.26     -0.10     0.28     1 
2280791385  -26.96207    -61.55906    -0.09     -0.12     0.15     1 
2280791386  -26.96174    -61.52673     0.06     -0.21     0.22     1 
2280791388  -26.96105    -61.46206     0.27     -0.13     0.30     1 
2280791389  -26.96069    -61.42973    -0.16     -0.20     0.26     1 
2280791390  -26.96033    -61.39740     0.15     -0.13     0.20     1 
2280791391  -26.95996    -61.36507    -0.08     -0.08     0.11     1 
2280791392  -26.95958    -61.33275     0.18     -0.16     0.24     1 
2280791393  -26.95919    -61.30042    -0.10     -0.34     0.36     1 
2280791394  -26.95880    -61.26809    -0.07      0.12     0.14     1 
2280791396  -26.95799    -61.20344    -0.19      0.14     0.24     1 
2280791398  -26.95715    -61.13878     0.24     -0.19     0.31     1 
2280791399  -26.95672    -61.10646     0.22     -0.05     0.23     1 
2280791403  -26.95492    -60.97717     0.07     -0.06     0.09     1 
2280791404  -26.95446    -60.94485    -0.06     -0.06     0.08     1 
2280791405  -26.95398    -60.91253    -0.02      0.12     0.12     1 
2280791406  -26.95350    -60.88021    -0.04     -0.05     0.06     1 
2280791407  -26.95301    -60.84790     0.04      0.06     0.07     1 
2280791408  -26.95251    -60.81558     0.16     -0.01     0.16     1 
2280791409  -26.95201    -60.78326     0.31     -0.01     0.31     1 
2280791410  -26.95150    -60.75095    -0.20     -0.20     0.29     1 
2280791412  -26.95045    -60.68632    -0.00     -0.22     0.22     1 
2280791413  -26.94992    -60.65400     0.35     -0.12     0.37     1 
2280791414  -26.94938    -60.62169    -0.07     -0.29     0.30     1 
2280791415  -26.94883    -60.58938    -0.04     -0.20     0.21     1 
2280791416  -26.94827    -60.55707    -0.09     -0.03     0.10     1 
2280791417  -26.94771    -60.52476     0.16     -0.12     0.20     1 
2280791418  -26.94714    -60.49245     0.20      0.06     0.21     1 
2280791419  -26.94656    -60.46015     0.12     -0.25     0.28     1 
2280791420  -26.94597    -60.42784     0.17     -0.09     0.19     1 
2280791441  -26.99247    -62.17328     0.16     -0.21     0.26     1 
2280791447  -26.99120    -61.97920    -0.24     -0.06     0.24     1 
2280791450  -26.99046    -61.88216     0.12     -0.54     0.56     2 
2280791455  -26.98909    -61.72044     0.01     -0.30     0.31     1 
2280791458  -26.98817    -61.62342     0.04      0.15     0.15     1 
2280791461  -26.98719    -61.52640     0.03     -0.15     0.15     1 
2280791464  -26.98614    -61.42938     0.15     -0.16     0.22     1 
2280791466  -26.98541    -61.36471     0.10     -0.11     0.15     1 
2280791467  -26.98503    -61.33237     0.16     -0.27     0.31     1 
2280791468  -26.98464    -61.30003     0.02     -0.14     0.14     1 
2280791469  -26.98425    -61.26770     0.06     -0.24     0.25     1 
2280791470  -26.98385    -61.23537     0.13     -0.09     0.16     1 
2280791471  -26.98344    -61.20303     0.14     -0.09     0.17     1 
2280791473  -26.98260    -61.13837    -0.02     -0.17     0.18     1 
2280791474  -26.98217    -61.10603    -0.07     -0.00     0.07     1 
2280791475  -26.98173    -61.07370     0.19     -0.09     0.21     1 
2280791476  -26.98128    -61.04137     0.03     -0.18     0.19     1 
2280791477  -26.98083    -61.00905     0.07     -0.01     0.07     1 
2280791478  -26.98037    -60.97672    -0.23     -0.11     0.26     1 
2280791479  -26.97990    -60.94439    -0.21     -0.14     0.25     1 
2280791481  -26.97894    -60.87974     0.06     -0.00     0.06     1 
2280791483  -26.97796    -60.81509     0.16     -0.10     0.19     1 
2280791484  -26.97745    -60.78276    -0.18      0.14     0.22     1 
2280791487  -26.97589    -60.68580     0.01     -0.10     0.10     1 
2280791488  -26.97536    -60.65348     0.02     -0.04     0.05     1 
2280791489  -26.97482    -60.62116    -0.05      0.14     0.15     1 
2280791490  -26.97427    -60.58884     0.01     -0.09     0.09     1 
2280791492  -26.97315    -60.52421    -0.37     -0.04     0.37     1 
2280791512  -27.01863    -62.30252     0.18     -0.18     0.25     1 
2280791515  -27.01812    -62.20545     0.00     -0.17     0.17     1 
2280791516  -27.01793    -62.17310     0.08     -0.20     0.21     1 
2280791517  -27.01774    -62.14074     0.03     -0.17     0.17     1 
2280791531  -27.01424    -61.68780     0.07     -0.35     0.36     1 
2280791532  -27.01394    -61.65546     0.01     -0.10     0.11     1 
2280791533  -27.01363    -61.62311    -0.30     -0.03     0.30     1 
2280791535  -27.01298    -61.55841     0.29     -0.25     0.38     1 
2280791536  -27.01264    -61.52606    -0.03     -0.00     0.03     1 
2280791537  -27.01230    -61.49372     0.00     -0.13     0.13     1 
2280791538  -27.01195    -61.46137     0.15     -0.01     0.15     1 
2280791540  -27.01123    -61.39668     0.09      0.05     0.10     1 
2280791541  -27.01086    -61.36434    -0.36     -0.37     0.52     2 
2280791542  -27.01048    -61.33199     0.22     -0.09     0.24     1 
2280791543  -27.01009    -61.29965     0.02     -0.07     0.08     1 
2280791544  -27.00970    -61.26731    -0.08     -0.46     0.47     1 
2280791545  -27.00930    -61.23497     0.05     -0.26     0.26     1 
2280791546  -27.00889    -61.20263    -0.07     -0.16     0.18     1 
2280791547  -27.00847    -61.17029     0.30     -0.22     0.37     1 
2280791548  -27.00805    -61.13795     0.23     -0.34     0.41     1 
2280791549  -27.00761    -61.10561    -0.08      0.05     0.09     1 
2280791551  -27.00673    -61.04093     0.20     -0.08     0.21     1 
2280791552  -27.00628    -61.00860     0.21      0.04     0.21     1 
2280791553  -27.00581    -60.97626    -0.05     -0.17     0.17     1 
2280791554  -27.00535    -60.94393    -0.07     -0.12     0.14     1 
2280791557  -27.00390    -60.84693     0.12     -0.05     0.13     1 
2280791558  -27.00340    -60.81459    -0.22     -0.09     0.23     1 
2280791560  -27.00238    -60.74993    -0.17     -0.17     0.24     1 
2280791564  -27.00025    -60.62062     0.27     -0.13     0.30     1 
2280791565  -26.99970    -60.58830    -0.02      0.01     0.02     1 
2280791566  -26.99915    -60.55597    -0.13     -0.02     0.13     1 
2280791567  -26.99858    -60.52365     0.55     -0.07     0.56     2 
2280791568  -26.99801    -60.49133     0.04     -0.30     0.30     1 
2280791569  -26.99743    -60.45900     0.01     -0.54     0.54     2 
2280791587  -27.04409    -62.30237    -0.09     -0.25     0.27     1 
2280791590  -27.04357    -62.20527     0.09     -0.13     0.16     1 
