Sun. Feb.  7, 2016             LANDSAT 7                 Time: 15:42
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17849366            Path/Row: 224 / 078

L0R Reference Image: L71EDC1800189010100_HDF.160381825
Acquisition Date: Jul 06, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
224   078   07-06-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240780124_01  -26.868884  -54.504080   331.916      -4.337     4.309    -5.023     3.488
2240780125_01  -26.728546  -55.543666   192.082       5.833     2.082     5.381     3.065
2240780126_01  -26.716865  -55.130892   300.466      -6.648    -3.746    -5.891    -4.843
2240780127_01  -25.483469  -54.832914   276.326      -3.051    -4.774    -2.173    -5.231
2240780131_01  -25.439495  -55.609594   292.933       0.643     0.421     0.563     0.527
2240780134_01  -26.476511  -54.719243   161.598       1.701    -4.979     2.540    -4.607
2240780135_01  -25.808622  -55.100469   307.328      -0.783    -4.785     0.062    -4.845
2240780137_01  -25.510334  -54.577017   208.497      -3.364    -2.895    -2.810    -3.436
2240780140_01  -26.137750  -55.798244   180.740      -3.487    -4.646    -2.619    -5.180
2240780141_01  -26.301567  -54.895480   370.515      -0.285    -1.653     0.007    -1.677
2240780143_01  -25.832523  -54.872707   264.434      -4.759    -2.548    -4.242    -3.336
2240780145_01  -25.577564  -55.698205   300.369      -5.817     0.302    -5.773    -0.715
2240780146_01  -25.294949  -54.102763   486.246      -2.514     0.233    -2.519    -0.208
2240780147_01  -26.605606  -55.302074   263.208       1.316     4.529     0.508     4.687
2240780148_01  -25.527689  -55.268519   250.047      -2.849    -5.783    -1.796    -6.188
2240780152_01  -26.344123  -54.160327   619.226       1.190    -2.196     1.549    -1.956
2240780153_01  -25.529564  -54.745300   247.877       1.112    -0.279     1.143    -0.082
2240780157_01  -25.267353  -54.439846   244.766      -0.224     0.904    -0.379     0.851
2240780161_01  -25.387233  -55.642487   306.346      -0.626     5.432    -1.556     5.236
2240780162_01  -25.489783  -54.746312   259.223       1.449    -3.287     1.999    -2.984
2240780164_01  -25.731244  -54.476618   276.359       3.881     1.596     3.542     2.246
2240780165_01  -25.925876  -54.960888   253.589      -1.564    -0.713    -1.415    -0.974
2240780166_01  -26.085800  -55.866904   184.726       2.303     0.142     2.246     0.541
2240780167_01  -25.579892  -54.675074   195.806      -1.198    -0.817    -1.039    -1.013
2240780168_01  -26.619823  -54.676358   234.226      -0.774    -1.562    -0.492    -1.673
2240780171_01  -25.454156  -54.218848   289.229      -4.761     4.015    -5.390     3.125
2240780174_01  -25.978399  -54.507620   252.072       3.135     2.543     2.642     3.049
2240780175_01  -25.551380  -54.616245   211.720       4.485     0.889     4.260     1.656
2240780176_01  -25.444758  -55.026018   270.331      -1.460     0.629    -1.545     0.365
2240780180_01  -25.602426  -54.495510   236.935       4.117     5.442     3.105     6.075
2240780183_01  -26.540848  -54.764109   176.575       3.744     2.543     3.243     3.156
2240780184_01  -26.583399  -54.718363   236.090      -1.953     0.044    -1.932    -0.297
2240780186_01  -25.396809  -54.846165   199.030       6.171     1.551     5.806     2.601
2240780188_01  -25.475373  -54.624010   187.952      -1.341     1.187    -1.528     0.935
2240780190_01  -25.392703  -54.650371   245.224       2.008    -0.482     2.060    -0.125
2240780191_01  -26.565896  -54.757279   215.326       1.066     1.176     0.843     1.343
2240780194_01  -25.899639  -55.467723   314.470       5.838     1.225     5.535     2.222
2240780196_01  -25.752894  -54.726452   232.330      -2.252     0.609    -2.324     0.208
2240780197_01  -26.809192  -54.317129   588.396       0.759     1.460     0.489     1.569
2240780198_01  -25.506086  -54.644549   221.104       4.544    -4.220     5.208    -3.365
2240780199_01  -25.900500  -55.306300   299.564      -1.570     0.863    -1.693     0.576
2240780201_01  -25.582694  -55.288144   210.420       5.894     4.538     5.014     5.494
2240780206_01  -26.393781  -55.188507   279.261      -4.359     4.705    -5.108     3.872
2240780207_01  -25.347164  -54.917970   208.883       2.069     3.424     1.442     3.731
2240780209_01  -26.789853  -55.037151   110.023       1.167     3.170     0.596     3.324
2240780214_01  -25.590731  -54.590971   126.675      -0.237     1.444    -0.486     1.381
2240780215_01  -26.727081  -54.795721   203.560       5.921    -2.163     6.205    -1.100
2240780219_01  -25.375144  -54.965116   215.689      -2.674    -2.335    -2.226    -2.764
2240780223_01  -25.242183  -55.691389   291.229      -6.150    -0.649    -5.935    -1.709
2240780224_01  -25.407601  -55.616264   311.977       1.300     3.514     0.672     3.685
2240780227_01  -25.456505  -54.839379   257.393      -0.543    -3.357     0.050    -3.399
2240780229_01  -25.789571  -55.015539   304.991      -6.844    -1.122    -6.541    -2.296
2240780230_01  -25.487754  -54.507382   272.305      -5.436     2.558    -5.799     1.572
2240780232_01  -26.682215  -54.701052   243.452      -0.252     2.535    -0.692     2.452
2240780233_01  -25.446365  -54.397287   291.900       0.063     1.051    -0.123     1.045
2240780235_01  -25.392285  -54.624408   231.804       1.581    -3.167     2.107    -2.843
2240780236_01  -25.793318  -54.874911   315.240      -1.467    -2.117    -1.076    -2.339
2240780237_01  -25.242284  -55.090026   273.135       4.594    -6.510     5.656    -5.608
2240780238_01  -26.564145  -54.786876   206.047      -2.627     5.489    -3.544     4.947
2240780239_01  -26.369628  -55.227325   279.378      -4.370     0.133    -4.323    -0.630
2240780241_01  -25.221356  -55.063871   261.400       4.663    -4.167     5.316    -3.290
2240780245_01  -26.057560  -55.637504   472.251       4.638     2.648     4.105     3.413
2240780247_01  -26.075254  -54.895060   303.777       3.752    -1.288     3.917    -0.615
2240780249_01  -25.417905  -54.586382   185.754      -1.332     1.104    -1.505     0.856
2240780250_01  -25.649701  -54.886168   198.305      -1.037     3.126    -1.565     2.897
2240780252_01  -26.060155  -55.296191   318.444      -1.767    -0.496    -1.651    -0.796
2240780254_01  -26.609711  -54.738385   197.233       0.126     4.099    -0.592     4.057
2240780256_01  -25.453676  -55.738668   291.541       3.185     1.856     2.816     2.381
2240780259_01  -26.204724  -55.590436   192.845       4.146    -0.531     4.175     0.200
2240780260_01  -26.408286  -54.589252   220.523      -2.635     4.449    -3.371     3.922
2240780262_01  -25.489455  -54.725466   274.328       1.158    -0.202     1.174     0.002
2240780264_01  -26.745628  -55.132257   283.873      -0.792    -2.464    -0.351    -2.563
2240780266_01  -26.772170  -54.251691   618.281      -1.621    -0.009    -1.598    -0.291
2240780267_01  -26.343717  -54.678076   114.527       0.712     6.475    -0.428     6.500
2240780270_01  -25.631763  -54.132248   297.058       2.644    -5.033     3.477    -4.498
2240780275_01  -25.418121  -54.486109   233.137      -2.376    -4.345    -1.585    -4.692
